nom,prix,adresse,image
Coq Cochin blanc,Prix sur demande,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/3530692_uploaded_image1_1642595027.jpg""); width: 550px;"
Coq Cochin coucou,Prix sur demande,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/3530700_uploaded_image1_1642595156.jpg""); width: 610px;"
Couple Lapins,35 000 CFA,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3536316_uploaded_image2_1642949782.jpeg""); width: 506px;"
Lapins nains,35 000 CFA,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/3537679_uploaded_image2_1643058435.jpeg""); width: 446px;"
Poussins Brahma,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",""
Femelle opal rosa,35 000 CFA,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/3544071_uploaded_image1_1643465628.jpg""); width: 448px;"
Lot de 3 pigeons,25 000 CFA,"Sipres, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3544488_uploaded_image1_1643489629.jpg""); width: 369px;"
Pigeons,45 000 CFA,"Dieuppeul-Derklé, Dakar, Sénégal",""
Coq Brahman,50 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/3546219_uploaded_image2_1643635975.jpeg""); width: 369px;"
Poussin brahman,10 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/3546230_uploaded_image2_1643636331.jpeg""); width: 369px;"
Poule pondeuse,45 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/3546233_uploaded_image2_1643636476.jpeg""); width: 369px;"
Coq,30 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3548688_uploaded_image1_1643733991.jpg""); width: 583px;"
Oeuf poulet Brahma,2 500 CFA,"Rufisque, Sénégal",""
Couple de poule Brahman,50 000 CFA,"Saint Louis, Sénégal",""
Poule  Brahma,25 000 CFA,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3569532_uploaded_image1_1644995089.jpg""); width: 506px;"
Poulets,Prix sur demande,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3575471_uploaded_image1_1645369161.jpg""); width: 538px;"
Couple Cochin,90 000 CFA,"Dakar, Sénégal",""
Poule Cochin,90 000 CFA,"Dakar, Sénégal",""
Coq Cochin,80 000 CFA,"Dakar, Sénégal",""
Lapins nains,30 000 CFA,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3594110_uploaded_image2_1646425966.jpeg""); width: 411px;"
Couple poussins brahma,20 000 CFA,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/3595177_uploaded_image2_1646493730.jpeg""); width: 616px;"
Trio poussins Brahma,20 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/3599688_uploaded_image2_1646764115.jpeg""); width: 369px;"
Pigeon femelle texan,25 000 CFA,"Dakar, Sénégal",""
Pigeons,Prix sur demande,"Bambey, Sénégal",""
Oiseaux,80 000 CFA,"Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3620766_uploaded_image1_1648057839.jpg""); width: 369px;"
Lapins,15 000 CFA,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3624677_uploaded_image2_1648325394.jpeg""); width: 506px;"
Poussins,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3658331_uploaded_image2_1650244788.jpeg""); width: 568px;"
Pigeon voyageur,Prix sur demande,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/3659922_uploaded_image1_1650356719.jpg""); width: 402px;"
Pigeon,Prix sur demande,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/3659931_uploaded_image1_1650357026.jpg""); width: 402px;"
Pigeons,Prix sur demande,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/3659941_uploaded_image2_1650357667.jpeg""); width: 402px;"
Poule,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3663076_uploaded_image1_1650514068.jpg""); width: 568px;"
Eclosion - 16000 poussins,Prix sur demande,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3664153_uploaded_image1_1650570771.jpg""); width: 553px;"
Lapereaux,30 000 CFA,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3665205_uploaded_image2_1650639266.jpeg""); width: 534px;"
Pigeons,Prix sur demande,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/3669432_uploaded_image2_1650934782.jpeg""); width: 651px;"
Pigeon dragon,20 000 CFA,"Mariste, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3671452_uploaded_image2_1651059347.jpeg""); width: 369px;"
Cochin femelle frisé,40 000 CFA,"Mboro, Sénégal","background-image: url(""https://images.coinafrique.com/3671735_uploaded_image2_1651068449.jpeg""); width: 369px;"
Coq Brahma Perdrix,35 000 CFA,"Mboro, Sénégal","background-image: url(""https://images.coinafrique.com/3671744_uploaded_image1_1651068700.jpg""); width: 369px;"
Pigeons,50 000 CFA,"Cambérène, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3675341_uploaded_image2_1651328469.jpeg""); width: 411px;"
Couple poules Bantam,80 000 CFA,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3678837_uploaded_image2_1651584122.jpeg""); width: 521px;"
Poussin,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3679061_uploaded_image2_1651594438.jpeg""); width: 568px;"
Poule couple brahman,50 000 CFA,"Saint Louis, Sénégal","background-image: url(""https://images.coinafrique.com/3680687_uploaded_image1_1651677884.jpg""); width: 369px;"
Lapin couple,65 000 CFA,"Dakar Plateau, Dakar, Sénégal",""
Pigeons,Prix sur demande,"Cambérène, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3689928_uploaded_image2_1652202348.jpeg""); width: 411px;"
Pigeons,Prix sur demande,"Niaga, Sénégal","background-image: url(""https://images.coinafrique.com/3694574_uploaded_image1_1652451578.jpg""); width: 578px;"
Poule Brahmâ,20 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/3701283_uploaded_image2_1652878153.jpeg""); width: 369px;"
Coq Brahma,50 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/3701284_uploaded_image1_1652878050.jpg""); width: 369px;"
Poule,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3707531_uploaded_image2_1653273004.jpeg""); width: 568px;"
Poussins 1 jour,25 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/3712620_uploaded_image1_1653566057.jpg""); width: 391px;"
Poussins,27 500 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/3713086_uploaded_image1_1653586071.jpg""); width: 396px;"
Poussins,Prix sur demande,"Diamniadio, Sénégal","background-image: url(""https://images.coinafrique.com/3717493_uploaded_image1_1653911809.jpg""); width: 401px;"
Poulet de chair,2 500 CFA,"Niaga, Sénégal","background-image: url(""https://images.coinafrique.com/3719067_uploaded_image1_1654006894.jpg""); width: 432px;"
Coq Brahmane,45 000 CFA,"Louga, Sénégal","background-image: url(""https://images.coinafrique.com/3725108_uploaded_image1_1654262429.jpg""); width: 496px;"
Pigeons voyageurs,Prix sur demande,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/3726420_uploaded_image1_1654342685.jpg""); width: 651px;"
Poussins Cochins,Prix sur demande,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/3738020_uploaded_image1_1654981855.jpg""); width: 522px;"
Poussins chair,28 000 CFA,"Yoff, Dakar, Sénégal",""
Lapins nain,30 000 CFA,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3756850_uploaded_image1_1656080564.jpg""); width: 411px;"
Lapin,20 000 CFA,"Keur Massar, Sénégal",""
Lapins,15 000 CFA,"Diamniadio, Sénégal","background-image: url(""https://images.coinafrique.com/3778360_uploaded_image2_1657315361.jpeg""); width: 576px;"
Couple lapin nain,60 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3779800_uploaded_image1_1657474190.jpg""); width: 369px;"
Poulets Hollande,6 000 CFA,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3788366_uploaded_image1_1658082013.jpg""); width: 382px;"
Poulets frais,3 500 CFA,"HLM, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3749412_uploaded_image2_1655656514.jpeg""); width: 671px;"
Poulet d'ornement,Prix sur demande,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/3795149_uploaded_image1_1658494666.jpg""); width: 651px;"
Lapin nain,60 000 CFA,"Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3795801_uploaded_image2_1658525929.jpeg""); width: 369px;"
Poules,2 800 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3799302_uploaded_image1_1658780673.jpg""); width: 418px;"
Femelles Manteau Opal,35 000 CFA,"Cambérène, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3802372_uploaded_image1_1658943727.jpg""); width: 549px;"
Poule Brahma,110 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3803358_uploaded_image2_1659010838.jpeg""); width: 671px;"
Poule Brahman,60 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3803369_uploaded_image1_1659011427.jpg""); width: 671px;"
Femelle herminé pur sang,45 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3807013_uploaded_image1_1659264761.jpg""); width: 432px;"
Poulets,3 500 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3809817_uploaded_image1_1659394489.jpg""); width: 418px;"
Poulet de chair,3 000 CFA,"HLM, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3812639_uploaded_image2_1659524524.jpeg""); width: 428px;"
Lapins,25 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3813508_uploaded_image1_1659550707.jpg""); width: 443px;"
Pigeon Opal,Prix sur demande,"Saly, Sénégal","background-image: url(""https://images.coinafrique.com/3817370_uploaded_image2_1659739915.jpeg""); width: 406px;"
Poulets,Prix sur demande,"Niaga, Sénégal","background-image: url(""https://images.coinafrique.com/3818707_uploaded_image1_1659828045.jpg""); width: 432px;"
Pigeons espagnols,10 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3818867_uploaded_image1_1659851278.jpg""); width: 416px;"
Pigeons portugais espagnols,20 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3818868_uploaded_image2_1659851736.jpeg""); width: 416px;"
Poulet de chair,3 000 CFA,"Mariste, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3820323_uploaded_image1_1659956851.jpg""); width: 414px;"
Poulets,Prix sur demande,"Niaga, Sénégal","background-image: url(""https://images.coinafrique.com/3820532_uploaded_image2_1659963344.jpeg""); width: 432px;"
Pigeons voyageurs,2 000 CFA,"Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3829942_uploaded_image2_1660489290.jpeg""); width: 407px;"
Diamant Mandarin Huppé,Prix sur demande,"Point E, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3841798_uploaded_image1_1661198573.jpg""); width: 410px;"
Pigeon voyageur,7 000 CFA,"Grand Yoff, Dakar, Sénégal",""
Pigeon,3 000 CFA,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3856165_uploaded_image1_1662024131.jpg""); width: 498px;"
Poussin pintade,1 500 CFA,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3859176_uploaded_image1_1662124807.jpg""); width: 568px;"
Brahmans Herminé et Cochins,Prix sur demande,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/3868279_uploaded_image1_1662589600.jpg""); width: 610px;"
Poulet chair,4 000 CFA,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3869035_uploaded_image1_1662638536.jpg""); width: 488px;"
Poussins Bleues Hollandaises,1 500 CFA,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3879015_uploaded_image1_1663241115.jpg""); width: 602px;"
Bleues d’Hollandes,15 000 CFA,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3879030_uploaded_image2_1663241522.jpeg""); width: 602px;"
Poussins de caille,500 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/3882380_uploaded_image1_1663498641.jpg""); width: 585px;"
Pigeon,10 000 CFA,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3911548_uploaded_image1_1665233800.jpg""); width: 506px;"
Lapin mâle engoura,20 000 CFA,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3911550_uploaded_image1_1665233894.jpg""); width: 446px;"
Pigeons,Prix sur demande,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3916214_uploaded_image2_1665526226.jpeg""); width: 369px;"
Lapin male Fauve,65 000 CFA,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/3934536_uploaded_image1_1666646311.jpg""); width: 415px;"
Lapin,25 000 CFA,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3937288_uploaded_image2_1666813728.jpeg""); width: 536px;"
Paire Brahma,80 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3941235_uploaded_image1_1667077382.jpg""); width: 671px;"
Coq choie & bramane,50 000 CFA,"Tambacounda, Sénégal","background-image: url(""https://images.coinafrique.com/3956033_uploaded_image1_1667909977.jpg""); width: 406px;"
Poussins,30 000 CFA,"Touba, Sénégal","background-image: url(""https://images.coinafrique.com/3956250_uploaded_image1_1667916487.jpg""); width: 469px;"
Pigeons Pan Indien,30 000 CFA,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3958692_uploaded_image1_1668044083.jpg""); width: 444px;"
Poussin dinde chair,3 000 CFA,"Dakar, Sénégal",""
Poussin bleu holande,30 000 CFA,"Dakar, Sénégal",""
Mâle Brahma,20 000 CFA,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3983729_uploaded_image1_1669650251.jpg""); width: 506px;"
Pigeon Mondain,85 000 CFA,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/3986519_uploaded_image1_1669815997.jpg""); width: 415px;"
Pigeons,80 000 CFA,"Cambérène, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3989311_uploaded_image1_1669935034.jpg""); width: 411px;"
Coq mal cochain,65 000 CFA,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/3990507_uploaded_image1_1669994795.jpg""); width: 381px;"
Pigeon français,25 000 CFA,"Sicap Liberté, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3999035_uploaded_image1_1670454354.jpg""); width: 419px;"
Couple Brahma,Prix sur demande,"Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4005445_uploaded_image1_1670854767.jpg""); width: 554px;"
Pigeons,12 000 CFA,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/4009110_uploaded_image1_1671058199.jpg""); width: 415px;"
Poules,35 000 CFA,"Touba, Sénégal","background-image: url(""https://images.coinafrique.com/4012177_uploaded_image3_1671225532.jpeg""); width: 469px;"
Lapins,30 000 CFA,"Touba, Sénégal","background-image: url(""https://images.coinafrique.com/4012180_uploaded_image1_1671225603.jpg""); width: 469px;"
Pigeon,50 000 CFA,"Kaolack, Sénégal","background-image: url(""https://images.coinafrique.com/4013190_uploaded_image1_1671298740.jpg""); width: 379px;"
Pigeons,15 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4019426_uploaded_image1_1671715622.jpg""); width: 443px;"
Couple pigeons,14 000 CFA,"Mariste, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4019501_uploaded_image1_1671719532.jpg""); width: 369px;"
Couple mondain,90 000 CFA,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/4021333_uploaded_image1_1671837659.jpg""); width: 424px;"
Couple texan,40 000 CFA,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/4021335_uploaded_image1_1671837753.jpg""); width: 424px;"
Poulets de chair,3 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4021629_uploaded_image1_1671880183.jpg""); width: 418px;"
Poulet de chair,3 500 CFA,"Rufisque, Sénégal",""
Coq cochin,50 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4030993_uploaded_image1_1672682272.jpg""); width: 583px;"
Coq Cochin,50 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4030997_uploaded_image1_1672682387.jpg""); width: 583px;"
Perruche ondulée,20 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4033032_uploaded_image2_1672783609.jpeg""); width: 579px;"
Perruches anglaise - couple,50 000 CFA,"Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4033120_uploaded_image2_1672788352.jpeg""); width: 579px;"
Couple voyageur blanc,15 000 CFA,"Cambérène, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4034942_uploaded_image1_1672874900.jpg""); width: 593px;"
Couple pigeons voyageurs,12 000 CFA,"Cambérène, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4034954_uploaded_image2_1672875777.jpeg""); width: 593px;"
Couple angoura,30 000 CFA,"Cambérène, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4036533_uploaded_image2_1672950565.jpeg""); width: 593px;"
Poussins de chair,35 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4041126_uploaded_image2_1673258391.jpeg""); width: 573px;"
Poulets de chairs,4 000 CFA,"Ziguinchor, Sénégal",""
Poulet Braman cochin,950 000 CFA,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4050193_uploaded_image2_1673725688.jpeg""); width: 554px;"
Couple   Braman Cochin,95 000 CFA,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4050206_uploaded_image1_1673726092.jpg""); width: 554px;"
Coq Chochin,95 000 CFA,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4050293_uploaded_image2_1673730559.jpeg""); width: 554px;"
Lapereaux,20 000 CFA,"Mariste, Dakar, Sénégal",""
Lapereau Angora,10 000 CFA,"Niaga, Sénégal",""
Poules pondeuses,Prix sur demande,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/4055238_uploaded_image2_1674047643.jpeg""); width: 369px;"
Lapin nain tête de lion,25 000 CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4060697_uploaded_image1_1674397870.jpg""); width: 507px;"
Lapin Angora,25 000 CFA,"Niaga, Sénégal","background-image: url(""https://images.coinafrique.com/4062470_uploaded_image1_1674512420.jpg""); width: 397px;"
Lapin,15 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/4069804_uploaded_image2_1675001928.jpeg""); width: 397px;"
Lapin femelle Angora,20 000 CFA,"Niaga, Sénégal","background-image: url(""https://images.coinafrique.com/4088341_uploaded_image1_1675964415.jpg""); width: 397px;"
Lapin papillon,30 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4097932_uploaded_image1_1676574876.jpg""); width: 394px;"
Poussins cou nu,2 500 CFA,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4098076_uploaded_image1_1676582659.jpg""); width: 602px;"
Poulet,5 000 CFA,"Dakar, Sénégal",""
Poulet,5 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4099353_uploaded_image1_1676660089.jpg""); width: 583px;"
Coq  Brahman,43 000 CFA,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4107161_uploaded_image1_1677172109.jpg""); width: 447px;"
Pigeon Lynx,10 000 CFA,"Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4109590_uploaded_image1_1677341693.jpg""); width: 488px;"
Pigeons  voyageurs à manteau,50 000 CFA,"Cambérène, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4111707_uploaded_image1_1677517375.jpg""); width: 411px;"
Pigeon  Mondains,100 000 CFA,"Cambérène, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4111710_uploaded_image1_1677517472.jpg""); width: 411px;"
Coq Brahman,70 000 CFA,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4119858_uploaded_image2_1677937312.jpeg""); width: 556px;"
Lapereaux,10 000 CFA,"Niaga, Sénégal","background-image: url(""https://images.coinafrique.com/4123300_uploaded_image2_1678175208.jpeg""); width: 397px;"
Lapin,15 000 CFA,"Niaga, Sénégal","background-image: url(""https://images.coinafrique.com/4125350_uploaded_image1_1678282298.jpg""); width: 397px;"
Pigeons Diamant Mandarin,30 000 CFA,"Point E, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4130101_uploaded_image1_1678546170.jpg""); width: 410px;"
Pigeon  Paon Indien,55 000 CFA,"Mariste, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4133025_uploaded_image1_1678744597.jpg""); width: 369px;"
Pigeons texans,15 000 CFA,"Cambérène, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4134077_uploaded_image1_1678808506.jpg""); width: 411px;"
Lapereau géant fauve,25 000 CFA,"Niaga, Sénégal","background-image: url(""https://images.coinafrique.com/4134335_uploaded_image1_1678820167.jpg""); width: 397px;"
Lapereaux,10 000 CFA,"Niaga, Sénégal","background-image: url(""https://images.coinafrique.com/4145983_uploaded_image1_1679578952.jpg""); width: 397px;"
Poussins Inde,4 000 CFA,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/4148722_uploaded_image1_1679757295.jpg""); width: 486px;"
Pigeons paons indiens,35 000 CFA,"Mariste, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4155195_uploaded_image1_1680182497.jpg""); width: 369px;"
Lapereaux Fauves,40 000 CFA,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/4158485_uploaded_image1_1680380175.jpg""); width: 500px;"
Pigeons,Prix sur demande,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/4158780_uploaded_image1_1680397009.jpg""); width: 553px;"
Couple pigeon,10 000 CFA,"Mariste, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4159080_uploaded_image1_1680434202.jpg""); width: 369px;"
Pigeons frisés milanais,200 000 CFA,"Cambérène, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4165971_uploaded_image1_1680795516.jpg""); width: 411px;"
Pigeons voyageurs  manteau,15 000 CFA,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/4167562_uploaded_image1_1680885216.jpg""); width: 423px;"
Pigeons voyageurs,15 000 CFA,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/4167567_uploaded_image1_1680885294.jpg""); width: 423px;"
Pigeons,150 000 CFA,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/4167601_uploaded_image1_1680885984.jpg""); width: 423px;"
Poule hollandais,8 000 CFA,"Touba, Sénégal","background-image: url(""https://images.coinafrique.com/4170233_uploaded_image2_1681079258.jpeg""); width: 469px;"
Poulet de chair,3 500 CFA,"Cambérène, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4172814_uploaded_image2_1681236735.jpeg""); width: 415px;"
Pigeons Lahore,15 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4177942_uploaded_image1_1681563067.jpg""); width: 455px;"
Pigeon Boulant de poméranie,13 000 CFA,"Mariste, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4178980_uploaded_image2_1681650252.jpeg""); width: 420px;"
Pigeon Boulant de poméranie,20 000 CFA,"Mariste, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4178981_uploaded_image1_1681650331.jpg""); width: 420px;"
Pigeons gazi,30 000 CFA,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/4179359_uploaded_image1_1681674474.jpg""); width: 391px;"
Pigeons King,100 000 CFA,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/4179363_uploaded_image1_1681674612.jpg""); width: 391px;"
Couple de pigeons,35 000 CFA,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/4179370_uploaded_image2_1681674871.jpeg""); width: 391px;"
Poussins,35 000 CFA,"Cambérène, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4186084_uploaded_image1_1682139045.jpg""); width: 464px;"
Pigeon Padda de java,20 000 CFA,"Point E, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4191356_uploaded_image1_1682522033.jpg""); width: 410px;"
Pigeon Texan,70 000 CFA,"Mbour, Sénégal",""
Lapin metisage,Prix sur demande,"Mariste, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4194884_uploaded_image1_1682776235.jpg""); width: 446px;"
Lapereau,15 000 CFA,"Mariste, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4195833_uploaded_image3_1682867699.jpeg""); width: 446px;"
Pigeon,20 000 CFA,"Gueule Tapée, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4198961_uploaded_image2_1683046102.jpeg""); width: 588px;"
Pigeons king,30 000 CFA,"Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4201964_uploaded_image1_1683201805.jpg""); width: 488px;"
Pigeons manteau opale,6 000 CFA,"Mariste, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4202860_uploaded_image2_1683234964.jpeg""); width: 420px;"
Cailleteaux,250 CFA,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/4205412_uploaded_image1_1683385484.jpg""); width: 462px;"
Poussins bleue Holland,35 000 CFA,"Cambérène, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4206875_uploaded_image3_1683511573.jpeg""); width: 464px;"
Lapin géant,50 000 CFA,"Niaga, Sénégal","background-image: url(""https://images.coinafrique.com/4207913_uploaded_image1_1683574221.jpg""); width: 397px;"
Couple lapins,Prix sur demande,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4208070_uploaded_image2_1683583031.jpeg""); width: 671px;"
Poulets brahman herminés,135 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4212808_uploaded_image1_1683879589.jpg""); width: 651px;"
Coq cochin,45 000 CFA,"Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4218824_uploaded_image1_1684270289.jpg""); width: 554px;"
Poussins de chair - bleu hollandais,Prix sur demande,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4221943_uploaded_image2_1684477934.jpeg""); width: 405px;"
Pigeon voyageur,7 000 CFA,"Ouakam, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4222721_uploaded_image1_1684515659.jpg""); width: 423px;"
Pigeon voyageur,7 000 CFA,"Ouakam, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4222723_uploaded_image1_1684515810.jpg""); width: 423px;"
Pigeon Tambour Allemand,50 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4223933_uploaded_image1_1684609709.jpg""); width: 455px;"
